Date,Description,Amount
6/1/2026,Deposit: Customer Payment 101,1500
6/2/2026,Adobe Systems Subscription,-35
6/3/2026,Landlord Realty Corp Rent,-1200
6/5/2026,Comcast Business Internet,-120
6/7/2026,Deposit: Customer Payment 102,850
6/8/2026,Staples Office Supplies,-65.45
6/10/2026,Amazon Web Services Cloud,-145
6/12/2026,Deposit: Customer Payment 103,2100
6/14/2026,Google Workspace GSuite,-24
6/15/2026,Local Electric Utility,-185
6/17/2026,Staples Printer Ink,-89.2
6/19/2026,Deposit: Customer Payment 104,950
6/20/2026,Adobe Systems Credit,35
6/22/2026,Zoom Video Communications,-15.99
6/23/2026,Amazon Office Desk Chairs,-340
6/24/2026,Deposit: Customer Payment 105,1300
6/25/2026,Uber Business Travel,-42.5
6/26/2026,FedEx Shipping Services,-28.1
6/27/2026,Microsoft 365 License,-12.5
6/28/2026,Target Breakroom Supplies,-54.3
6/29/2026,Deposit: Customer Payment 106,600
6/30/2026,Monthly Bank Service Fee,-15
6/30/2026,Gas & Electric AutoPay,-115
6/30/2026,Amazon Web Services Cloud,-145
6/30/2026,Deposit: Customer Payment 107,1450
,,
,,6152.96
